InputFile,Vertices,Edges,Alpha,Greedy  Search Value,Average Random  Search Value,Average Semi_Greedy  Search Value,Average Local Iteration Count,Average Local  Search Value,Grasp Iteration Count,Best Grasp Value,Best Known Upper Bound
,,,,,9995,12385,687,12818,500,12942,
,,,,,9993,12388,686,12819,1000,12945,
,,,0.2,,9987,12421,669,12825,20,12935,
,,,,,10013,12422,674,12820,50,12974,
,,,,,9991,12429,675,12824,100,12954,
,,,,,10001,12426,679,12826,500,12962,
,,,,,9994,12428,678,12825,1000,12958,
,,,0.3,,9986,12520,649,12824,20,12956,
,,,,,9979,12519,659,12832,50,12966,
,,,,,9997,12530,655,12840,100,12972,
,,,,,9988,12526,660,12839,500,13010,
,,,,,9993,12528,,,1000,13002,
,,,0.4,,10016,12614,617,12844,20,12933,
,,,,,9994,12607,639,12849,50,12981,
,,,,,9992,12603,642,12846,100,12985,
,,,,,9999,12611,644,12850,500,12999,
,,,,,9995,,645,,1000,13005,
,,,0.5,,9960,12660,633,12861,20,12990,
,,,,,9983,12666,628,12850,50,12998,
,,,,,9993,12669,,12854,100,12995,
,,,,,9994,,636,12861,500,13002,
,,,,,9991,12673,634,12862,1000,13041,
,,,0.6,,10002,12724,612,12864,20,12999,
,,,,,9987,12721,627,12870,50,13032,
,,,,,9992,,625,12869,100,13023,
,,,,,9997,12728,624,12874,500,13078,
,,,,,9995,12725,627,12872,1000,13047,
,,,0.7,,,12753,598,12857,20,12991,
,,,,,9984,12757,619,12881,50,13029,
,,,,,9990,12751,,12870,100,13042,
,,,,,9995,12758,620,12878,500,13030,
,,,,,,,,,1000,13060,
,,,0.8,,9964,12776,611,12870,20,13015,
,,,,,10001,12779,605,12872,50,13012,
,,,,,9991,12784,613,12878,100,13048,
,,,,,10000,12783,615,12882,500,13066,
,,,,,9994,,614,12880,1000,13080,
,,,0.9,,10008,12802,595,12874,20,13011,
,,,,,9998,12807,602,12882,50,13039,
,,,,,9988,12798,611,12884,100,13074,
,,,,,9994,12793,612,12881,500,13049,
,,,,,9997,12798,,12885,1000,13070,
,,,1,,9983,12796,592,12867,20,13004,
,,,,,10008,,604,12880,50,13017,
,,,,,9986,12801,609,12882,100,13035,
,,,,,9993,12798,612,12885,500,13077,
,,,,,9999,,611,12883,1000,13085,
G24,,,0,12864,9989,12363,669,12807,20,12889,14131
,,,,,10007,12358,693,12822,50,12929,
,,,,,9980,12355,694,12817,100,12923,
,,,,,9998,,693,,500,12939,
,,,,,9999,12358,,12816,1000,12973,
,,,0.1,,10006,12370,674,12812,20,12894,
,,,,,10004,12388,682,12826,50,12947,
,,,,,9995,,687,12822,100,12926,
,,,,,10001,12390,688,12825,500,12949,
,,,,,9995,12389,689,12824,1000,12958,
,,,0.2,,10004,12415,658,12815,20,12914,
,,,,,9980,12424,678,12823,50,12945,
,,,,,10000,12430,677,12828,100,12928,
,,,,,9988,12428,683,12829,500,12958,
,,,,,10000,,681,12827,1000,12967,
,,,0.3,,9987,12515,650,12837,20,12938,
,,,,,,12543,655,,50,12960,
,,,,,9984,12539,659,12843,100,12961,
,,,,,10000,12530,662,12842,500,12985,
,,,,,9995,12529,,12841,1000,12990,
,,,0.4,,10006,12599,626,,20,12953,
,,,,,9998,12602,641,12850,50,12968,
,,,,,9995,12612,646,12859,100,12972,
,,,,,9993,12609,648,12853,500,13008,
,,,,,9999,12611,646,,1000,13003,
,,,0.5,,10003,12670,614,12848,20,12957,
,,,,,,12671,630,12862,50,13000,
,,,,,9991,12666,632,12861,100,12999,
,,,,,9989,12668,637,12864,500,13012,
,,,,,9993,,638,,1000,13037,
,,,0.6,,10016,12723,619,12874,20,12995,
,,,,,9999,12724,620,12871,50,13023,
,,,,,9990,12721,624,12873,100,13030,
,,,,,9998,12724,629,12876,500,13026,
,,,,,,12720,627,12872,1000,13038,
,,,0.7,,10017,12753,601,12875,20,12995,
,,,,,9995,12749,613,12873,50,13004,
,,,,,9997,12746,621,12875,100,13016,
,,,,,9996,12753,622,12879,500,13025,
,,,,,9992,12754,623,12878,1000,13052,
,,,0.8,,9985,12786,606,12876,20,13020,
,,,,,10005,12784,611,12888,50,13048,
,,,,,9996,12783,614,12882,100,13060,
,,,,,9999,12775,619,12883,500,13053,
,,,,,9997,12780,618,12885,1000,,
,,,0.9,,9987,12794,603,12874,20,13030,
,,,,,9996,12795,608,12879,50,13034,
,,,,,9987,12788,615,12882,100,13025,
,,,,,9991,12793,,12885,500,13053,
,,,,,9998,12794,,12886,1000,13051,
,,,1,,10012,12800,593,,20,13027,
,,,,,9979,12792,619,12890,50,13021,
,,,,,10003,12791,610,12882,100,13069,
,,,,,10000,12793,613,12885,500,13052,
,,,,,,,615,,1000,13057,
G25,,,0,12847,10022,12357,673,12817,20,12885,
,,,,,9994,12364,687,12821,50,12957,
,,,,,10002,12355,686,12810,100,12924,
,,,,,10000,12354,693,12815,500,12957,
,,,,,9991,12356,,,1000,12962,
,,,0.1,,9996,12375,675,12823,20,12929,
,,,,,9980,12389,679,12814,50,12905,
,,,,,9994,12391,686,12818,100,12928,
,,,,,,12387,687,12821,500,12959,
,,,,,9989,12385,690,,1000,12963,
,,,0.2,,10028,12443,650,12819,20,12887,
,,,,,9985,12428,677,12831,50,12913,
,,,,,9997,,675,12823,100,12945,
,,,,,9993,,679,12824,500,12955,
,,,,,,,681,12825,1000,12964,
,,,0.3,,9978,12514,639,12819,20,12923,
,,,,,9994,12541,655,12840,50,12976,
,,,,,9983,12532,656,12838,100,12955,
,,,,,9993,12529,658,12839,500,12980,
,,,,,9992,,661,12840,1000,12994,
,,,0.4,,10010,12620,627,12848,20,12984,
,,,,,9990,12615,639,12851,50,12958,
,,,,,10003,12617,641,12857,100,12995,
,,,,,9987,12615,646,12855,500,13050,
,,,,,9998,,645,12852,1000,13013,
,,,0.5,,9972,12681,621,12856,20,12968,
,,,,,9992,12670,625,12855,50,13052,
,,,,,10001,12679,627,12863,100,12995,
,,,,,9990,12673,634,12861,500,13000,
,,,,,9999,12674,,12863,1000,13019,
,,,0.6,,9982,12713,619,12875,20,12990,
,,,,,9990,12720,621,12871,50,13013,
,,,,,9998,12730,622,,100,13019,
,,,,,9994,12724,626,12870,500,13046,
,,,,,9991,12726,627,12872,1000,13032,
,,,0.7,,,12758,609,12876,20,12992,
,,,,,9997,12766,617,12886,50,13042,
,,,,,10007,12764,618,12885,100,13020,
,,,,,9997,12760,619,12877,500,13047,
,,,,,,12759,620,12879,1000,13058,
,,,0.8,,9981,12772,602,12875,20,13021,
,,,,,9989,12780,617,12890,50,13027,
,,,,,,12782,614,12884,100,13025,
,,,,,9992,12781,617,12883,500,13062,
,,,,,,12784,,12885,1000,,
,,,0.9,,9996,12806,598,12877,20,13028,
,,,,,10012,12790,607,12882,50,13031,
,,,,,9989,12800,612,12883,100,13043,
,,,,,9994,12796,613,12885,500,13063,
,,,,,9998,12797,,12886,1000,13067,
,,,1,,9997,12787,597,12880,20,13031,
,,,,,9986,12796,607,12879,50,13016,
,,,,,10008,12793,613,12886,100,13056,
,,,,,9993,12796,615,12885,500,13063,
,,,,,9990,12798,614,12886,1000,13068,
G3,800,19176,0,11252,9587,11034,384,11358,20,11425,12077
,,,,,9597,11031,,11366,50,11439,
,,,,,9578,11020,395,11363,100,11480,
,,,,,9592,,392,11361,500,11473,
,,,,,9587,11019,394,11362,1000,11492,
,,,0.1,,9579,11036,385,11368,20,11461,
,,,,,9584,11020,390,11365,50,11448,
,,,,,9598,11026,388,11361,100,11453,
,,,,,9586,11027,391,11364,500,11505,
,,,,,9583,11025,393,11362,1000,11511,
,,,0.2,,9602,11024,383,11371,20,11456,
,,,,,9583,11030,387,11360,50,,
,,,,,9581,11024,390,11363,100,11461,
,,,,,9590,11031,,,500,11486,
,,,,,9591,11032,391,,1000,11480,
,,,0.3,,9569,11047,371,11352,20,11440,
,,,,,9589,11065,381,11364,50,11463,
,,,,,9584,11059,388,11365,100,11478,
,,,,,9586,11058,386,,500,11508,
,,,,,9585,11059,,,1000,11488,
,,,0.4,,9574,11098,370,11363,20,11411,
,,,,,9584,11105,376,11370,50,11482,
,,,,,9579,11099,377,11367,100,,
,,,,,9589,,,,500,11498,
,,,,,9587,11101,,,1000,11496,
,,,0.5,,9568,11156,358,11362,20,11471,
,,,,,9577,11150,367,11370,50,11466,
,,,,,9607,11148,365,11372,100,11502,
,,,,,9585,11149,369,11373,500,11492,
,,,,,9589,11148,367,11370,1000,11508,
,,,0.6,,9603,11200,348,11373,20,11478,
,,,,,9587,11191,358,11376,50,11490,
,,,,,9579,11195,359,11375,100,11478,
,,,,,9587,11197,360,11379,500,11505,
,,,,,9586,11196,361,11376,1000,11510,
,,,0.7,,9589,11221,344,11385,20,11474,
,,,,,9584,11217,356,11382,50,11465,
,,,,,9594,11221,351,11381,100,11499,
,,,,,9587,11225,355,11382,500,11490,
,,,,,9592,11223,354,11379,1000,11507,
,,,0.8,,9564,11235,341,11372,20,11438,
,,,,,9597,11242,346,11381,50,11470,
,,,,,9585,11244,348,11378,100,11504,
,,,,,9590,11242,351,11383,500,11520,
,,,,,9588,11246,,,1000,11499,
,,,0.9,,9607,11248,343,11385,20,11485,
,,,,,9574,11269,346,11386,50,11480,
,,,,,9588,11264,345,11383,100,11475,
,,,,,9589,11259,350,11386,500,11515,
,,,,,9585,,,11385,1000,11518,
,,,1,,9599,11249,331,11367,20,11449,
,,,,,9581,11268,351,11387,50,11484,
,,,,,9591,11271,344,,100,11497,
,,,,,9588,11265,345,11385,500,11502,
,,,,,9589,11266,347,11384,1000,11533,
G32,2000,4000,0,1198,13,1018,246,1080,20,1150,1560
,,,,,10,1015,249,1077,50,,
,,,,,5,1017,253,1081,100,,
,,,,,11,1014,,1080,500,1154,
,,,,,10,1015,,1078,1000,1156,
,,,0.1,,15,1021,243,1079,20,1150,
,,,,,10,1017,249,1078,50,,
,,,,,5,1015,252,,100,,
,,,,,9,,,1079,500,,
,,,,,11,,,,1000,,
,,,0.2,,13,1017,244,1081,20,,
,,,,,0,1019,253,1082,50,,
,,,,,8,1014,251,1078,100,,
,,,,,11,1015,252,,500,1170,
,,,,,,1016,253,1079,1000,1160,
,,,0.3,,13,1023,245,1084,20,1150,
,,,,,10,1019,249,1078,50,,
,,,,,13,1016,251,1080,100,,
,,,,,9,,253,1079,500,,
,,,,,11,1017,252,1080,1000,,
,,,0.4,,10,1019,245,,20,,
,,,,,16,1023,248,1083,50,,
,,,,,11,1028,251,1084,100,,
,,,,,9,1025,252,1082,500,1172,
,,,,,11,,251,1081,1000,1158,
,,,0.5,,13,1041,243,1087,20,1150,
,,,,,9,1044,248,,50,1168,
,,,,,10,,,1085,100,1184,
,,,,,11,1045,,1086,500,1186,
,,,,,8,1046,249,1087,1000,1184,
,,,0.6,,20,1125,234,1113,20,1198,
,,,,,10,1126,239,1110,50,1204,
,,,,,15,1124,240,1111,100,1198,
,,,,,11,1125,242,,500,1212,
,,,,,12,,241,,1000,1216,
,,,0.7,,14,1170,232,1127,20,1222,
,,,,,,1172,236,1129,50,1242,
,,,,,10,1171,238,1128,100,1234,
,,,,,12,1173,239,1130,500,1238,
,,,,,9,1172,,1128,1000,1242,
,,,0.8,,11,1173,235,1131,20,1228,
,,,,,19,1177,234,1130,50,1224,
,,,,,13,1172,236,1127,100,1232,
,,,,,10,1174,239,1130,500,1242,
,,,,,,1173,,1129,1000,1244,
,,,0.9,,11,1191,232,1133,20,1238,
,,,,,5,1193,236,1136,50,1254,
,,,,,9,,,1137,100,1240,
,,,,,10,,237,,500,1264,
,,,,,12,,,1136,1000,1270,
,,,1,,23,1189,228,1134,20,1242,
,,,,,12,1192,234,,50,1240,
,,,,,9,1194,236,1136,100,1250,
,,,,,10,1192,237,,500,1252,
,,,,,11,,,,1000,1264,
G34,,,0,1214,-34,979,252,1052,20,1125,1541
,,,,,-23,975,254,1050,50,,
,,,,,-21,974,,1048,100,,
,,,,,-24,976,255,1049,500,,
,,,,,-21,977,254,,1000,,
,,,0.1,,-35,972,251,1047,20,,
,,,,,-20,971,,1046,50,,
,,,,,-22,977,254,1050,100,,
,,,,,-24,,255,1049,500,,
,,,,,-23,,,,1000,1126,
,,,0.2,,-9,983,246,1053,20,1125,
,,,,,-26,974,253,1049,50,,
,,,,,-24,972,255,1047,100,,
,,,,,-21,978,254,1048,500,,
,,,,,-22,,255,1050,1000,,
,,,0.3,,-29,977,249,1047,20,,
,,,,,-22,,254,1052,50,,
,,,,,-18,978,252,1048,100,,
,,,,,-23,979,255,1049,500,,
,,,,,-22,,,1050,1000,,
,,,0.4,,-17,986,249,1060,20,,
,,,,,-27,988,252,1052,50,1126,
,,,,,-17,986,251,,100,1128,
,,,,,-24,987,254,,500,1130,
,,,,,-25,,255,,1000,1125,
,,,0.5,,-39,1013,251,1066,20,,
,,,,,-20,1019,248,1062,50,1146,
,,,,,-26,1012,252,1063,100,1140,
,,,,,-23,1010,251,1058,500,1164,
,,,,,,,252,1059,1000,1166,
,,,0.6,,-17,1104,238,1092,20,1170,
,,,,,-27,,242,1088,50,1210,
,,,,,-26,1105,243,1090,100,1194,
,,,,,-23,1103,244,1089,500,1200,
,,,,,-22,,243,,1000,1210,
,,,0.7,,-19,1159,235,1110,20,,
,,,,,-14,1157,236,1109,50,1220,
,,,,,-24,1155,239,1108,100,1222,
,,,,,-23,1157,240,,500,1226,
,,,,,-22,1155,,,1000,1228,
,,,0.8,,-21,1162,231,1107,20,1218,
,,,,,-18,1159,236,1109,50,1226,
,,,,,-26,1160,240,1110,100,1218,
,,,,,-24,1161,,,500,1234,
,,,,,-22,,,,1000,1240,
,,,0.9,,-29,1184,235,1120,20,1234,
,,,,,-24,1176,238,1117,50,1228,
,,,,,-25,1178,,1116,100,1232,
,,,,,-24,1177,240,,500,1240,
,,,,,,,,,1000,1242,
,,,1,,-26,1182,233,1118,20,1226,
,,,,,-21,1176,236,1115,50,,
,,,,,-23,,238,1116,100,1236,
,,,,,-25,1177,239,,500,1238,
,,,,,-22,1178,,1117,1000,1236,
G37,,11785,0,7413,5898,7191,387,7350,20,7405,8009
,,,,,5893,7190,394,7344,50,7406,
,,,,,5886,,396,7346,100,7421,
,,,,,5893,,,7348,500,7420,
,,,,,5890,,397,7347,1000,7426,
,,,0.1,,5901,7326,364,7375,20,7462,
,,,,,5896,7327,365,7373,50,7465,
,,,,,5893,7324,371,7376,100,7460,
,,,,,5891,7321,,7374,500,7464,
,,,,,5894,7323,,7376,1000,7474,
,,,0.2,,5900,7341,358,7378,20,7472,
,,,,,5890,7346,363,7381,50,7471,
,,,,,5887,,365,7382,100,7473,
,,,,,5892,7345,367,7381,500,7486,
,,,,,,7343,368,7380,1000,7478,
,,,0.3,,5864,7359,361,7384,20,7473,
,,,,,5888,7364,360,7387,50,7477,
,,,,,5890,7362,363,7382,100,7488,
,,,,,5892,7358,365,7385,500,,
,,,,,5890,7359,,,1000,7489,
,,,0.4,,5888,7361,356,7381,20,7467,
,,,,,5889,7356,361,7380,50,7483,
,,,,,,7364,364,7386,100,7478,
,,,,,5888,7362,,7385,500,7506,
,,,,,5896,7363,363,,1000,,
,,,0.5,,5911,7368,354,7381,20,7471,
,,,,,5886,,360,7388,50,7483,
,,,,,5891,7367,363,7385,100,7479,
,,,,,5890,7369,,7387,500,7493,
,,,,,5896,7367,362,,1000,7499,
,,,0.6,,5873,7371,360,7385,20,7469,
,,,,,5894,7373,359,7386,50,7488,
,,,,,5891,7374,361,7388,100,7491,
,,,,,5890,7371,362,7387,500,7496,
,,,,,,7372,363,7388,1000,7499,
,,,0.7,,5894,7386,348,7384,20,7480,
,,,,,5891,7379,359,7389,50,7477,
,,,,,5893,7380,360,,100,7493,
,,,,,5892,7377,362,7388,500,7486,
,,,,,5894,7379,360,,1000,7498,
,,,0.8,,5890,7388,352,7389,20,7490,
,,,,,5897,7384,355,7390,50,7482,
,,,,,,7382,360,,100,7486,
,,,,,5891,7385,359,7389,500,7513,
,,,,,5892,,,,1000,7500,
,,,0.9,,5888,7388,348,7388,20,7475,
,,,,,5881,7386,355,7386,50,7479,
,,,,,5887,7387,358,7390,100,7493,
,,,,,5890,7384,359,7389,500,7499,
,,,,,5893,,,,1000,7494,
,,,1,,5895,7383,352,7385,20,7471,
,,,,,5882,7385,359,7386,50,7488,
,,,,,5889,,358,7388,100,7478,
,,,,,5893,,359,7390,500,7502,
,,,,,5890,7384,,7389,1000,,
G39,,11778,0,1952,13,1679,487,2012,20,2113,
,,,,,1,1684,495,2008,50,,
,,,,,5,1681,503,2011,100,,
,,,,,16,1683,502,,500,2118,
,,,,,9,1684,503,,1000,2121,
,,,0.1,,27,1686,484,2006,20,2113,
,,,,,19,1688,499,2016,50,,
,,,,,12,1686,,2011,100,,
,,,,,14,1685,502,,500,2124,
,,,,,13,1687,,2012,1000,2144,
,,,0.2,,18,1679,492,2009,20,2113,
,,,,,7,1676,499,2012,50,,
,,,,,18,1682,496,2008,100,,
,,,,,17,1685,501,2010,500,,
,,,,,14,1683,502,2011,1000,2116,
,,,0.3,,10,1694,491,2020,20,2113,
,,,,,5,1687,496,2010,50,,
,,,,,,1681,500,2012,100,,
,,,,,17,1679,502,2009,500,2137,
,,,,,14,1683,,2011,1000,2122,
,,,0.4,,-4,1674,492,2010,20,2113,
,,,,,3,1698,501,2020,50,2114,
,,,,,12,1688,500,2012,100,2113,
,,,,,16,1692,,2013,500,,
,,,,,14,1690,502,2011,1000,2122,
,,,0.5,,-7,1702,485,2014,20,2116,
,,,,,9,1720,492,2016,50,2113,
,,,,,,1707,496,2014,100,,
,,,,,17,1714,498,2016,500,,
,,,,,13,1715,497,2017,1000,2115,
,,,0.6,,-3,1777,481,2032,20,2124,
,,,,,1,1803,482,2029,50,2119,
,,,,,12,1799,483,2033,100,2155,
,,,,,15,1792,485,2031,500,2154,
,,,,,14,1794,484,2030,1000,2145,
,,,0.7,,3,1873,461,2053,20,2137,
,,,,,19,1879,462,2047,50,2143,
,,,,,16,1872,467,2042,100,2150,
,,,,,13,1879,469,2046,500,2153,
,,,,,,1877,471,2047,1000,2190,
,,,0.8,,-4,1953,452,2063,20,2157,
,,,,,7,1948,453,2060,50,2174,
,,,,,13,1947,456,,100,2172,
,,,,,12,,458,2058,500,2200,
,,,,,14,1950,457,,1000,2182,
,,,0.9,,11,2003,443,2072,20,2173,
,,,,,8,2000,445,2071,50,2190,
,,,,,17,2001,446,2068,100,2204,
,,,,,14,2003,448,2069,500,2190,
,,,,,,2001,,,1000,2202,
,,,1,,15,2004,435,2066,20,2177,
,,,,,-1,2024,444,2074,50,2190,
,,,,,10,2015,,2072,100,2191,
,,,,,18,2020,442,2071,500,2212,
,,,,,13,2019,444,2072,1000,2226,
G4,800,19176,0,11268,9576,11033,386,11365,20,11448,
,,,,,9582,11028,393,11381,50,11481,
,,,,,9589,11025,390,11370,100,11473,
,,,,,9590,11026,394,11377,500,11496,
,,,,,9584,11027,396,,1000,11519,
,,,0.1,,9581,11020,391,11373,20,,
,,,,,9599,,395,11380,50,11487,
,,,,,9591,11026,392,11373,100,11471,
,,,,,9585,11029,394,11374,500,11504,
,,,,,9588,11034,393,11376,1000,11529,
,,,0.2,,9573,11036,388,11374,20,11478,
,,,,,9594,11031,393,11378,50,,
,,,,,9585,11035,394,11374,100,11483,
,,,,,9586,,,11376,500,11515,
,,,,,9585,11038,393,11377,1000,11500,
,,,0.3,,9578,11063,382,11382,20,11475,
,,,,,9586,11074,383,11379,50,11508,
,,,,,9574,11068,,11375,100,11479,
,,,,,9588,11064,388,11380,500,11536,
,,,,,9589,11066,,11379,1000,11504,
,,,0.4,,9578,11107,369,11368,20,11450,
,,,,,9600,11100,378,11379,50,11483,
,,,,,9586,11107,377,11382,100,11524,
,,,,,9589,11108,380,11383,500,11527,
,,,,,9590,11111,377,11382,1000,11503,
,,,0.5,,9588,11151,358,11386,20,11477,
,,,,,9579,11159,367,11383,50,11497,
,,,,,9591,11156,366,11381,100,11498,
,,,,,9589,11158,371,11388,500,11518,
,,,,,9586,11157,,11385,1000,11516,
,,,0.6,,9566,11207,358,11390,20,11473,
,,,,,9580,,359,11392,50,11465,
,,,,,9582,11202,360,11387,100,11477,
,,,,,9588,,363,11390,500,11511,
,,,,,9586,11203,,11392,1000,11519,
,,,0.7,,9572,11240,346,11391,20,11453,
,,,,,9585,11236,351,11390,50,11516,
,,,,,9590,11233,355,11395,100,11493,
,,,,,9591,11237,357,11396,500,11522,
,,,,,9589,11235,356,11395,1000,11536,
,,,0.8,,9592,11258,338,11388,20,11483,
,,,,,9582,11253,342,11391,50,11503,
,,,,,9603,11250,353,11400,100,11511,
,,,,,9587,11252,354,11398,500,11549,
,,,,,9584,11254,355,11399,1000,11548,
,,,0.9,,9586,11275,344,,20,11524,
,,,,,9587,11277,347,11398,50,11495,
,,,,,9585,11271,349,11400,100,11512,
,,,,,9584,11268,351,,500,11552,
,,,,,9587,,350,11399,1000,11521,
,,,1,,,11276,344,11403,20,11494,
,,,,,9605,,345,11393,50,11493,
,,,,,9591,11277,348,11401,100,11527,
,,,,,9588,,350,,500,11513,
,,,,,9587,11275,349,11399,1000,11549,
G43,1000,9990,0,6359,4983,6167,342,6399,20,6469,7027
,,,,,5000,6169,345,6397,50,6458,
,,,,,4995,6168,347,6396,100,6498,
,,,,,4991,6167,350,6399,500,6493,
,,,,,4994,6172,348,,1000,6501,
,,,0.1,,4985,6187,341,6400,20,6451,
,,,,,4989,6182,347,6403,50,6477,
,,,,,,6179,346,6399,100,6465,
,,,,,4996,6186,,6403,500,6531,
,,,,,4994,6185,,6401,1000,6514,
,,,0.2,,5011,6201,334,6405,20,6490,
,,,,,4988,6204,338,6398,50,6485,
,,,,,4994,6198,342,6403,100,6491,
,,,,,4996,6203,343,6404,500,6514,
,,,,,4993,6202,,,1000,6497,
,,,0.3,,4990,6242,334,6407,20,6460,
,,,,,4985,6245,333,6409,50,6474,
,,,,,4992,6244,334,6410,100,6473,
,,,,,4994,6245,335,,500,6498,
,,,,,4995,6248,334,,1000,6522,
,,,0.4,,5019,6294,313,6415,20,6506,
,,,,,4993,6281,319,6408,50,6473,
,,,,,4986,6290,325,6413,100,6502,
,,,,,4996,6287,326,6415,500,6524,
,,,,,,,325,,1000,6517,
,,,0.5,,4997,6314,310,6420,20,6482,
,,,,,4996,6309,319,6422,50,6498,
,,,,,4998,6321,317,6417,100,6515,
,,,,,4994,6317,319,6418,500,6514,
,,,,,,6316,322,6420,1000,6530,
,,,0.6,,4991,6342,311,6429,20,6503,
,,,,,4989,6341,315,6427,50,6509,
,,,,,4993,6349,317,6428,100,6506,
,,,,,4997,6342,,6425,500,6529,
,,,,,4996,6345,316,,1000,6522,
,,,0.7,,4985,6367,308,6427,20,6503,
,,,,,4996,6362,309,6426,50,6518,
,,,,,4995,6366,311,6430,100,6530,
,,,,,4993,6363,313,6429,500,6520,
,,,,,4996,6362,312,6427,1000,6543,
,,,0.8,,4992,6370,299,6426,20,6494,
,,,,,5001,6374,310,6432,50,6525,
,,,,,5007,6370,309,6429,100,6519,
,,,,,4994,6373,311,6431,500,6540,
,,,,,4999,,,6430,1000,6534,
,,,0.9,,4982,6392,306,6435,20,6495,
,,,,,5006,6384,305,6432,50,6510,
,,,,,5003,6385,306,6431,100,6535,
,,,,,4991,,308,,500,,
,,,,,4994,,,6432,1000,6561,
,,,1,,4989,6381,295,6420,20,6482,
,,,,,5007,6387,305,6434,50,6504,
,,,,,4996,6384,309,,100,6520,
,,,,,4991,,,6433,500,6551,
,,,,,4997,6385,,,1000,6541,
G44,,,0,6367,4995,6172,338,6400,20,6467,7022
,,,,,5004,6173,,6392,50,6475,
,,,,,5006,6169,343,6396,100,6480,
,,,,,4994,,344,,500,6500,
,,,,,4995,,345,6397,1000,6489,
,,,0.1,,5016,6189,332,6400,20,6464,
,,,,,4995,6182,335,6394,50,6457,
,,,,,4997,6185,340,6399,100,6480,
,,,,,4993,6183,342,,500,6490,
,,,,,4994,6184,343,,1000,6527,
,,,0.2,,4988,6200,331,6400,20,6475,
,,,,,4994,6194,340,6403,50,6473,
,,,,,4990,6200,341,6401,100,,
,,,,,4999,6198,339,6402,500,6498,
,,,,,4995,6201,,6401,1000,6497,
,,,0.3,,5006,6252,318,6405,20,6489,
,,,,,4996,6246,325,6406,50,6476,
,,,,,4998,6244,332,6409,100,6487,
,,,,,4999,6246,328,6406,500,,
,,,,,4992,6245,332,6408,1000,6497,
,,,0.4,,4998,6274,315,6410,20,6467,
,,,,,5001,6283,321,6416,50,6487,
,,,,,5000,6282,322,6413,100,6514,
,,,,,4994,6283,324,6412,500,6509,
,,,,,4993,6285,323,6413,1000,6506,
,,,0.5,,4995,6314,310,6417,20,6471,
,,,,,4983,6317,315,6419,50,6478,
,,,,,5004,6311,314,6415,100,6508,
,,,,,4997,6312,319,6417,500,,
,,,,,4994,6314,318,6418,1000,6505,
,,,0.6,,5019,6345,299,6420,20,6494,
,,,,,5004,6339,313,6422,50,6504,
,,,,,4994,6341,,6426,100,6531,
,,,,,4997,,312,6422,500,6539,
,,,,,4995,6340,313,6423,1000,6527,
,,,0.7,,5001,6366,297,6426,20,6495,
,,,,,4994,6362,311,6429,50,6509,
,,,,,,6363,307,6426,100,6535,
,,,,,4995,6361,310,6428,500,6537,
,,,,,4997,6358,,6425,1000,6532,
,,,0.8,,4980,6373,303,6429,20,6490,
,,,,,4990,6374,302,6426,50,6506,
,,,,,4996,6376,304,6430,100,6518,
,,,,,4995,6372,308,6428,500,6525,
,,,,,4997,6371,,,1000,6545,
,,,0.9,,4998,6384,297,6424,20,6500,
,,,,,4994,,306,6433,50,6512,
,,,,,4996,6383,305,6430,100,6513,
,,,,,4991,,306,,500,6539,
,,,,,4993,6382,,,1000,6535,
,,,1,,4985,6381,298,6424,20,6498,
,,,,,4980,6377,307,6428,50,6510,
,,,,,4995,6383,306,6429,100,6509,
,,,,,4994,6382,,6430,500,6517,
,,,,,4992,6384,,6431,1000,6535,
G45,,,0,6417,4979,6169,340,6389,20,6442,7020
,,,,,4991,6173,,6393,50,6466,
,,,,,4993,6172,,6394,100,6469,
,,,,,4995,6174,343,,500,6511,
,,,,,4996,6168,344,,1000,6504,
,,,0.1,,4985,6178,334,,20,6448,
,,,,,4991,6184,335,6396,50,6486,
,,,,,4990,6180,341,6397,100,,
,,,,,4997,6184,,6398,500,6483,
,,,,,4995,,342,,1000,6493,
,,,0.2,,4983,6204,331,6400,20,6480,
,,,,,4992,6201,334,6398,50,6474,
,,,,,4985,6199,341,6401,100,6491,
,,,,,4994,6200,338,6399,500,6480,
,,,,,4995,6199,,,1000,6512,
,,,0.3,,4983,6243,324,6396,20,6457,
,,,,,5000,6239,327,6402,50,6472,
,,,,,4991,6245,330,,100,6485,
,,,,,4994,6243,,6405,500,6509,
,,,,,,6242,331,,1000,6495,
,,,0.4,,4997,6282,318,6409,20,6493,
,,,,,4995,6288,321,6414,50,6486,
,,,,,4996,6282,319,6406,100,6490,
,,,,,4993,6280,323,6411,500,6527,
,,,,,4995,6282,,,1000,6519,
,,,0.5,,4988,6314,316,6417,20,6494,
,,,,,5002,6315,314,6416,50,6482,
,,,,,5001,6313,,6415,100,6507,
,,,,,4992,6312,317,,500,6516,
,,,,,4995,,,,1000,6538,
,,,0.6,,4979,6341,310,6419,20,6498,
,,,,,4996,6345,305,6416,50,6506,
,,,,,4997,6340,311,6420,100,6504,
,,,,,4991,6343,312,,500,6561,
,,,,,4992,6342,313,6422,1000,6526,
,,,0.7,,,6364,310,6426,20,6489,
,,,,,5001,6363,302,6422,50,6499,
,,,,,4999,6359,307,6423,100,6516,
,,,,,4993,,309,6425,500,6522,
,,,,,4995,6363,,6426,1000,6554,
,,,0.8,,4980,6367,304,6421,20,6499,
,,,,,4985,,303,6423,50,6516,
